seqName,clade,outbreakLineage,lineage,outbreak
NRL_CPHL_32|MPX|Rivers|2025-02-24,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_33|MPX|Ebonyi|2025-02-24,IIb,sh2017/A.2.3,A.2.3,sh2017
NRL_CPHL_41|MPX|Rivers|2025-03-15,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_41A|MPX|Rivers|2025-03-15,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_50|MPX|Rivers|2025-04-17,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_61|MPX|Rivers|2025-05-13,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL_CPHL_67|MPX|Rivers|2025-05-31,IIb,sh2017/A.2.2,A.2.2,sh2017
MPX-23-006|Kogi|Lokoja|2023-01-06,IIb,sh2017/A.2,A.2,sh2017
MPX-23-015|Borno|Biyu|2022-12-29,IIb,sh2017/A.2.3,A.2.3,sh2017
MPX-23-032|Bayelsa|Yenegoa|2022-12-26,IIb,sh2017/A.2.3,A.2.3,sh2017
MPX-23-046|Abia|Isiala|2022-12-30,IIb,,,
MPX-23-059|Borno|Mongono|2023-01-08,IIb,sh2017/A.2.3,A.2.3,sh2017
MPOX-24-1015|Taraba|Nigeria|2024-11-05,IIb,sh2017/A.2.3,A.2.3,sh2017
MPOX-24-1016|Taraba|Nigeria|2024-11-05,IIb,sh2017/A.2.3,A.2.3,sh2017
MPOX-24-1022|Lagos|Nigeria|2024-10-31,IIb,sh2017/A.2.3,A.2.3,sh2017
MPOX-24-1065|Lagos|Nigeria|2024-11-12,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-1066|Imo|Nigeria|2024-11-12,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-1219|Benue|Nigeria|2024-11-09,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-1220|Benue|Nigeria|2024-12-02,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-545_S1_L001|Edo|Nigeria|2024-08-16,IIb,,,
MPOX-24-618_S3_L001|AkwaIbom|Nigeria|2024-08-27,IIb,,,
MPOX-24-627_S4_L001|Delta|Nigeria|2024-08-30,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-632_S5_L001|Delta|Nigeria|2024-08-30,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-633_S6_L001|Imo|Nigeria|2024-08-29,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-642_S7_L001|Fct|Nigeria|2024-09-03,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-643_S8_L001|Gombe|Nigeria|2024-09-02,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-647_S9_L001|Benue|Nigeria|2024-09-02,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-675_S10_L001|AkwaIbom|Nigeria|2024-09-03,IIb,,,
MPOX-24-680_S11_L001|AkwaIbom|Nigeria|2024-09-05,IIb,,,
MPOX-24-686_S12_L001|CrossRiver|Nigeria|2024-09-06,IIb,,,
MPOX-24-766_S15_L001|Plateau|Nigeria|2024-09-18,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-788_S16_L001|Plateau|Nigeria|2024-09-24,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-811_S19_L001|CrossRiver|Nigeria|2024-09-14,IIb,,,
MPOX-24-812_S20_L001|CrossRiver|Nigeria|2024-09-14,IIb,,,
MPOX-24-925|Fct|Nigeria|2024-10-22,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-934|Imo|Nigeria|2024-10-12,IIb,,,
MPOX-24-944|Plateau|Nigeria|2024-10-18,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-966|Delta|Nigeria|2024-10-27,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-967|Rivers|Nigeria|2024-10-28,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-982|Taraba|Nigeria|2024-10-28,IIb,sh2017/A.2.3,A.2.3,sh2017
MPOX-24-984|Edo|Nigeria|2024-11-01,IIb,sh2017/A.2.3,A.2.3,sh2017
MPOX-24-987|AkwaIbom|Nigeria|2024-10-29,IIb,sh2017/A.2.2,A.2.2,sh2017
MPOX-24-997|Ogun|Nigeria|2024-10-28,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-25-152|Kaduna|Nigeria|2025-01-28,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-25-154|Edo|Nigeria|2025-01-29,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-25-155|Delta|Nigeria|2025-01-29,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-25-158|Kaduna|Nigeria|2025-01-27,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-25-159|Kaduna|Nigeria|2025-01-30,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-24-850|Edo|Nigeria|2024-10-03,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-24-860|Plateau|Nigeria|2024-09-29,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-24-864|Fct|Nigeria|2024-10-08,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-24-909|Plateau|Nigeria|2024-10-11,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-839|Fct|Nigeria|2024-10-03,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-510|Ondo|Nigeria|2024-10-09,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-521|Lagos|Nigeria|2024-10-16,IIb,sh2017/A.2.3,A.2.3,sh2017
CPHL-533|Lagos|Nigeria|2024-10-26,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-560|Lagos|Nigeria|2024-11-17,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-572|Ondo|Nigeria|2024-11-21,IIb,,,
CPHL-604|Lagos|Nigeria|2024-11-26,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-607|Lagos|Nigeria|2024-12-04,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-24-318|Osun|Nigeria|2024-08-21,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-24-344|Lagos|Nigeria|2024-08-27,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-24-369|Lagos|Nigeria|2024-09-02,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-24-400|Lagos|Nigeria|2024-09-09,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-24-401|Lagos|Nigeria|2024-09-10,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-24-419|Lagos|Nigeria|2024-09-12,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-24-474|Lagos|Nigeria|2024-09-27,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-24-477|Lagos|Nigeria|2024-09-25,IIb,sh2017/A.2.3,A.2.3,sh2017
CPHL-MPOX-24-509|Oyo|Nigeria|2024-10-07,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-25-001|ONDO|Nigeria|2024-12-27,IIb,,,
CPHL-MPOX-25-0035|ONDO|Nigeria|2025-01-21,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-25-004|LAGOS|Nigeria|2024-12-31,IIb,sh2017/A.2.2,A.2.2,sh2017
CPHL-MPOX-25-007|OGUN|Nigeria|2024-12-26,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0035|SOKOTO|Nigeria|2024-12-30,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0052|PLATEAU|Nigeria|2024-12-18,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0066|KADUNA|Nigeria|2025-01-04,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0070|EDO|Nigeria|2025-01-10,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0094|DELTA|Nigeria|2025-01-13,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0110|NASARAWA|Nigeria|2025-01-21,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0112|EDO|Nigeria|2025-01-14,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0114|BAYELSA|Nigeria|2025-01-17,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0185|DELTA|Nigeria|2025-02-04,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0188|EBONYI|Nigeria|2025-01-05,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0231|DELTA|Nigeria|2025-02-13,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0232|SOKOTO|Nigeria|2025-02-16,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-0233|SOKOTO|Nigeria|2025-02-16,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-151|KADUNA|Nigeria|2025-01-31,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-170|EDO|Nigeria|2025-01-31,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-180|BENUE|Nigeria|2025-01-28,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-203|KADUNA|Nigeria|2025-09-08,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-259|CROSS_RIVER|Nigeria|2025-01-23,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-268|BENUE|Nigeria|2025-02-18,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-272|EDO|Nigeria|2025-02-19,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-284|NIGER|Nigeria|2025-02-24,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-293|KADUNA|Nigeria|2025-02-26,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-304|KADUNA|Nigeria|2025-03-03,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-307|AKWA_IBOM|Nigeria|2025-03-05,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-310|NIGER|Nigeria|2025-03-07,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-321|BENUE|Nigeria|2025-03-07,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-358|GOMBE|Nigeria|2025-03-17,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-378|FCT|Nigeria|2025-03-25,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-391|PLATEAU|Nigeria|2025-03-20,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-412|EDO|Nigeria|2025-03-28,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-451|PLATEAU|Nigeria|2025-04-04,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-460|AKWA_IBOM|Nigeria|2025-04-15,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-485|FCT|Nigeria|2025-04-26,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-508|CROSS_RIVER|Nigeria|2025-05-06,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-564|AKWA_IBOM|Nigeria|2025-08-22,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-565|AKWA_IBOM|Nigeria|2025-05-31,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-572|BENUE|Nigeria|2025-06-03,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-573|KADUNA|Nigeria|2025-06-10,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-583|DELTA|Nigeria|2025-06-13,IIb,sh2017/A.2.2,A.2.2,sh2017
NRL-MPOX-25-593|KEBBI|Nigeria|2025-06-24,IIb,sh2017/A.2.2,A.2.2,sh2017
