index,seqName,clade,outbreakLineage,lineage,outbreak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,OP535325|Unknown|Nigeria|2018-06,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,OP535326|Oyo|Nigeria|2018-06,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,OP535327|Rivers|Nigeria|2018-03,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,OP535328|Rivers|Nigeria|2018-03,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,OP535329|Rivers|Nigeria|2018-03,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,OP535330|Imo|Nigeria|2018-02,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,OP535331|Oyo|Nigeria|2018-01,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,OP535332|Oyo|Nigeria|2018-01,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,OP535333|Oyo|Nigeria|2018-01,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,OP535334|Rivers|Nigeria|2018-02,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,OP535335|Bayelsa|Nigeria|2017-10,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,OP535336|Enugu|Nigeria|2017-10,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,OP535337|Bayelsa|Nigeria|2017-10,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,OP535338|Akwa-Ibom|Nigeria|2017-10,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,OP535339|Enugu|Nigeria|2017-10,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,OP535340|Akwa-Ibom|Nigeria|2017-10,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,OP535341|Bayelsa|Nigeria|2017-10,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,OP612674|Bayelsa|Nigeria|2019-01-12,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,OP612675|Bayelsa|Nigeria|2019-01-30,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,OP612676|Bayelsa|Nigeria|2019-02-20,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,OP612677|Rivers|Nigeria|2019-03-12,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,OP612678|Rivers|Nigeria|2019-11-02,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,OP612679|Delta|Nigeria|2019-03-14,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,OP612680|Lagos|Nigeria|2019-04-01,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,OP612681|Bayelsa|Nigeria|2019-04-20,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,OP612682|Bayelsa|Nigeria|2019-04-20,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,OP612683|Delta|Nigeria|2019-04-18,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,OP612684|Lagos|Nigeria|2019-05-10,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,OP612685|Delta|Nigeria|2019-05-29,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,OP612686|Delta|Nigeria|2019-06-26,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,OP612687|Enugu|Nigeria|2019-07-11,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,OP612688|Oyo|Nigeria|2019-10-07,IIb,sh2017/A.1,A.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,OP612689|Rivers|Nigeria|2019-12-17,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,OP612690|Imo|Nigeria|2019-12-17,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,OP612691|unknown|Nigeria|2020-01-23,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,MK783027|Rivers|Nigeria|2017-11-09,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,MK783028|Rivers|Nigeria|2017-11-09,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,MK783029|Rivers|Nigeria|2017-12-06,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MK783030|Rivers|Nigeria|2017-11-30,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,MK783031|Rivers|Nigeria|2017-11-09,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,MK783032|Rivers|Nigeria|2017-11-01,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,MK783033|Rivers|Nigeria|2017-10-09,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MT903338|Lagos|Nigeria|2018,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,MT903339|Delta|Nigeria|2018,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,MT903341|Bayelsa|Nigeria|2018-08-14,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,NC063383|Rivers|Nigeria|2018-08,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,OP535312|Rivers|Nigeria|2018-02,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,OP535313|Unknown|Nigeria|2018-01,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,OP535314|Rivers|Nigeria|2018-01,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,OP535315|Imo|Nigeria|2018-02,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,OP535316|Imo|Nigeria|2018-02,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,OP535317|Lagos|Nigeria|2018-01,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,OP535318|Benue|Nigeria|2017-12,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,OP535319|Cross-River|Nigeria|2017-12,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,OP535320|Abia|Nigeria|2017-11,IIb,sh2017/A,A,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PP852973|TRM076|Rivers|Nigeria|2022-09-27,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PP852974|TRM077|Anambra|Nigeria|2022-09-27,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PP852975|TRM078|Abia|Nigeria|2022-09-19,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PP852976|TRM081|Bayelsa|Nigeria|2022-10-21,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PP852977|TRM082|Nasarawa|Nigeria|2022-11-01,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PP852978|TRM275|Kwara|Nigeria|2022-09-15,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,PP852979|TRM276|Anambra|Nigeria|2022-09-22,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,PP852980|TRM277|FCT|Nigeria|2022-09-30,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,PP852981|TRM278|Imo|Nigeria|2022-09-20,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,PP852982|TRM279|Abia|Nigeria|2022-09-26,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,PP852983|TRM280|Enugu|Nigeria|2022-10-05,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,PP852984|TRM281|Imo|Nigeria|2022-10-11,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,PP852985|TRM283|Ebonyi|Nigeria|2022,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,PP852986|TRM284|Kaduna|Nigeria|2022-10-30,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,PP852987|TRM285|Lagos|Nigeria|2022-09-16,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,PP852988|TRM286|Anambra|Nigeria|2022-09-12,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,PP852991|TRM289|Abia|Nigeria|2022-09-25,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,PP852992|TRM291|Bayelsa|Nigeria|2022-10-07,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,PP852993|TRM293|Ebonyi|Nigeria|2022,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,PP852994|TRM295|Lagos|Nigeria|2022-09-18,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,PP852995|TRM296|Delta|Nigeria|2022-08-30,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,PP852996|TRM299|Abia|Nigeria|2022-09-26,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,PP852997|TRM294|Edo|Nigeria|2022-11-01,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,PP852998|TRM301|Bayelsa|Nigeria|2022-09-26,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,PP852999|TRM302|Imo|Nigeria|2022-10-14,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,PP853000|TRM303|Imo|Nigeria|2022-10-24,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,PP853001|TRM307|FCT|Nigeria|2022-09-26,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,PP853002|TRM308|FCT|Nigeria|2022-10-02,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,PP853003|TRM310|Ogun|Nigeria|2022-09-30,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,PP853004|TRM312|Gombe|Nigeria|2022-10-08,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,PP853005|TRM313|Imo|Nigeria|2022-10-24,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,PP853006|TRM316|Bayelsa|Nigeria|2022-09-19,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,PP853007|TRM317|Imo|Nigeria|2022-09-17,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,PP853008|TRM318|Lagos|Nigeria|2022-09-22,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,PP853009|TRM320|Rivers|Nigeria|2022-10-03,IIb,sh2017/A.2.4,A.2.4,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,PP853010|TRM321|Ondo|Nigeria|2022-10-05,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,PP853011|TRM323|Ogun|Nigeria|2022-10-26,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,PP853012|TRM326|Rivers|Nigeria|2022-09-27,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,PP853013|TRM328|Lagos|Nigeria|2022-09-16,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,PP853014|TRM331|Rivers|Nigeria|2022-10-06,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,PP853015|TRM334|Kano|Nigeria|2022-11-02,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,PP853016|TRM338|Lagos|Nigeria|2022-09-23,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,PP853017|TRM344|Edo|Nigeria|2022-10-26,IIb,sh2017/A.3,A.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,PP853019|TRM351|Rivers|Nigeria|2022-10-12,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,PP853020|TRM353|Plateau|Nigeria|2022-10-24,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,PP853021|TRM359|Anambra|Nigeria|2022-09-27,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,PP853022|TRM362|Rivers|Nigeria|2022-10-14,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,PP853023|TRM306|Imo|Nigeria|2022-09-13,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,PP853024|TRM311|Edo|Nigeria|2022-10-01,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,PP853025|TRM314|Bayelsa|Nigeria|2022-10-27,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,PP853026|TRM315|Kogi|Nigeria|2022-09-18,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,PP853027|TRM319|AkwaIbom|Nigeria|2022-09-27,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,PP853028|TRM322|Nasarawa|Nigeria|2022-10-13,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,PP853029|TRM324|Bayelsa|Nigeria|2022-10-30,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,PP853030|TRM325|Lagos|Nigeria|2022-09-14,IIb,sh2017/A.2,A.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,PP853031|TRM327|Delta|Nigeria|2022-09-16,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,PP853032|TRM329|Bayelsa|Nigeria|2022-09-28,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,PP853033|TRM330|Ebonyi|Nigeria|2022,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,PP853034|TRM332|Anambra|Nigeria|2022-10-12,IIb,sh2017/A.2.1,A.2.1,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,PP853035|TRM333|Kaduna|Nigeria|2022-10-24,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,PP853036|TRM335|Lagos|Nigeria|2022-09-12,IIb,sh2017/A.2.2,A.2.2,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,PP853037|TRM336|FCT|Nigeria|2022-09-23,IIb,sh2017/A.2.3,A.2.3,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,PP853038|TRM337|Delta|Nigeria|2022-09-16,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,PP853039|TRM339|Bayelsa|Nigeria|2022-09-28,IIb,sh2017/A.2.5,A.2.5,sh2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
